Site,Lat,Lng,Link,Target
1,56.879317,14.814398,"http://www.ncbi.nlm.nih.gov/pubmed/14514147",“_blank"
2,59.328933,18.024122,"http://sjp.sagepub.com/content/43/3/302.short",“_blank"
3,53.131879,-1.778736,"http://online.liebertpub.com/doi/abs/10.1089/mdr.1997.3.263",“_blank"
4,33.565911,119.338151,"http://link.springer.com/article/10.1007/s11356-015-4636-y",“_blank"
5,20.926216,77.768269,"http://www.nytimes.com/2014/12/04/world/asia/superbugs-kill-indias-babies-and-pose-an-overseas-threat.html?_r=0",“_blank"
6,-33.941448,18.461783,"http://www.sciencedirect.com/science/article/pii/S1075996414001553",“_blank"
7,29.380702,47.977937,"http://www.biomedcentral.com/content/pdf/1744-8603-2-6.pdf",“_blank"
8,31.146809,121.605842,"http://www.biomedcentral.com/content/pdf/1744-8603-2-6.pdf",“_blank"
9,40.707477,-73.879431,"http://www.biomedcentral.com/content/pdf/1744-8603-2-6.pdf",“_blank"
10,52.808134,2.036394,"http://s.telegraph.co.uk/graphics/projects/antibiotic-resistance/",“_blank"
11,38.992997,76.922314,"http://aem.asm.org/content/70/10/6005.short",“_blank"
12,59.910383,10.784430,"http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=66683&fileId=S095026880000488X",“_blank"
13,46.456165,-94.749792,"http://www.nejm.org/doi/full/10.1056/nejm199905203402001",“_blank"
14,60.576683,24.880732,"http://aac.asm.org/content/35/10/2065.short",“_blank"
15,48.983788,14.475441,"http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4448040/",“_blank"
16,37.787186,122.391080,"http://cid.oxfordjournals.org/content/34/4/425.short",“_blank"
17,40.342611,-3.778918,"http://www.jstor.org/stable/4481328?seq=1#page_scan_tab_contents",“_blank"
18,6.246495,-75.576136,"http://aac.asm.org/content/50/8/2880.short",“_blank"
19,53.438593,-113.506048,"http://www.ncbi.nlm.nih.gov/pubmed/19958100",“_blank"
20,33.575699,-101.882950,"http://ehp.niehs.nih.gov/1408555/?utm_medium=twitter&utm_source=twitterfeed",“_blank"
21,39.726326,-104.982141,"http://www.nrcresearchpress.com/doi/abs/10.1139/w10-060#.VagMtFbYkds",“_blank"
22,38.718719,-9.138746,"http://femsle.oxfordjournals.org/content/351/1/64.full",“_blank"
23,17.524875,78.262956,"http://aem.asm.org/content/79/23/7256.full",“_blank"
24,38.709800,-9.153030,"http://femsre.oxfordjournals.org/content/38/4/761.full",“_blank"
25,64.421614,-17.164201,"http://femsre.oxfordjournals.org/content/35/5/901",“_blank"
26,-22.901785,-43.186149,"http://www.ncbi.nlm.nih.gov/pubmed/24821495",“_blank"
27,42.553543,-71.342789,"http://www.ncbi.nlm.nih.gov/pubmed/18388292",“_blank"
28,46.606967,-95.921009,"http://www.ncbi.nlm.nih.gov/pubmed/18388292",“_blank"
29,42.230811,-71.015834,"http://www.ncbi.nlm.nih.gov/pubmed/18388292",“_blank"
30,40.695068,-77.757645,"http://www.ncbi.nlm.nih.gov/pubmed/18388292",“_blank"
31,40.479404,-79.114001,"http://www.ncbi.nlm.nih.gov/pubmed/18388292",“_blank"
32,42.353863,-71.069787,"http://www.ncbi.nlm.nih.gov/pubmed/18388292",“_blank"
33,23.130491,-82.411202,"http://pubs.acs.org/doi/full/10.1021/es102473z",“_blank"
34,-19.382309,-43.529682,"http://www.funpecrp.com.br/gmr/year2007/vol3-6/gmr0373_full_text.html",“_blank"
35,-37.754762,145.398007,"http://www.ncbi.nlm.nih.gov/pubmed/10196762",“_blank"
36,45.459144,-123.845480,"http://aem.asm.org/content/36/3/450.short",“_blank"
37,43.076342,-89.411055,"http://onlinelibrary.wiley.com/doi/10.1111/j.1462-2920.2004.00664.x/full",“_blank"
38,42.685010,25.384427,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
39,56.041721,9.784897,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
40,53.061565,-8.224890,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
41,43.135266,12.189089,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
42,51.419278,10.256365,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
43,38.869911,5.163195,"http://www.researchgate.net/profile/Gianpiero_Manes/publication/49711792_Worldwide_H._pylori_antibiotic_resistance_a_systematic_review/links/0fcfd5093f8bdcec54000000.pdf",“_blank"
